"module name","license","repository"
"@adobe/css-tools@4.4.2","MIT","https://github.com/adobe/css-tools"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@antfu/eslint-config@3.16.0","MIT",""
"@antfu/install-pkg@1.0.0","MIT","https://github.com/antfu/install-pkg"
"@antfu/utils@0.7.10","MIT","https://github.com/antfu/utils"
"@apidevtools/json-schema-ref-parser@11.9.3","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@babel/code-frame@7.26.2","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.26.8","MIT","https://github.com/babel/babel"
"@babel/core@7.26.9","MIT","https://github.com/babel/babel"
"@babel/generator@7.26.9","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.26.5","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.26.9","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.26.0","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.26.5","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.26.5","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helpers@7.26.9","MIT","https://github.com/babel/babel"
"@babel/parser@7.26.9","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-decorators@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-decorators@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.26.0","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-jsx@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.26.8","MIT","https://github.com/babel/babel"
"@babel/runtime@7.26.9","MIT","https://github.com/babel/babel"
"@babel/standalone@7.26.9","MIT","https://github.com/babel/babel"
"@babel/template@7.26.9","MIT","https://github.com/babel/babel"
"@babel/traverse@7.26.9","MIT","https://github.com/babel/babel"
"@babel/types@7.26.9","MIT","https://github.com/babel/babel"
"@bcherny/json-schema-ref-parser@10.0.5-fork","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@capsizecss/metrics@2.2.0","MIT","https://github.com/seek-oss/capsize"
"@capsizecss/unpack@2.3.0","MIT","https://github.com/seek-oss/capsize"
"@changesets/apply-release-plan@7.0.10","MIT","https://github.com/changesets/changesets/tree/main/packages/apply-release-plan"
"@changesets/assemble-release-plan@6.0.6","MIT","https://github.com/changesets/changesets/tree/main/packages/assemble-release-plan"
"@changesets/changelog-git@0.2.1","MIT","https://github.com/changesets/changesets/tree/main/packages/changelog-git"
"@changesets/cli@2.28.1","MIT","https://github.com/changesets/changesets/tree/main/packages/cli"
"@changesets/config@3.1.1","MIT","https://github.com/changesets/changesets/tree/main/packages/config"
"@changesets/errors@0.2.0","MIT","https://github.com/changesets/changesets/tree/main/packages/errors"
"@changesets/get-dependents-graph@2.1.3","MIT","https://github.com/changesets/changesets/tree/main/packages/get-dependents-graph"
